Kennziffer;Raumeinheit;Aggregat;Einwohner 65 Jahre und älter;Durchschnittsalter der Bevölkerung ;Krankenhausbetten;Ärzte je  Einwohner;Einpendler;Auspendler
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"21,8";"43,4";"9,34";"19,3";"46,6";"28,9"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"19,4";"42,6";"8,32";"18,6";"62,0";"35,3"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"20,4";"43,1";"9,26";"12,2";"49,5";"48,2"
"05113";"Essen, Stadt";"krsfr. Stadt";"21,5";"43,7";"9,67";"14,1";"51,5";"41,2"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"22,0";"44,2";"9,22";"19,1";"54,0";"47,9"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"20,7";"43,6";"8,18";"19,0";"44,7";"42,9"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"23,7";"45,3";"5,28";"13,5";"59,9";"59,0"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"21,7";"44,4";"6,97";"12,6";"55,9";"61,1"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"22,3";"44,5";"9,22";"17,2";"47,1";"41,8"
"05122";"Solingen, Stadt";"krsfr. Stadt";"21,4";"44,1";"6,61";"17,8";"36,3";"45,0"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"20,9";"43,2";"5,73";"17,1";"39,8";"39,0"
"05154";"Kleve";"Landkreis";"20,3";"43,7";"5,78";"10,8";"59,3";"64,1"
"05158";"Mettmann";"Landkreis";"23,8";"45,4";"4,65";"13,7";"70,9";"70,4"
"05162";"Rhein-Kreis Neuss";"Landkreis";"21,8";"44,4";"4,58";"13,3";"65,3";"70,5"
"05166";"Viersen";"Landkreis";"21,8";"44,9";"4,81";"12,2";"64,9";"71,3"
"05170";"Wesel";"Landkreis";"22,9";"45,5";"5,44";"12,4";"66,2";"72,7"
"05314";"Bonn, Stadt";"krsfr. Stadt";"18,0";"41,1";"12,78";"22,8";"58,8";"37,3"
"05315";"Köln, Stadt";"krsfr. Stadt";"17,4";"41,3";"6,65";"17,7";"48,8";"30,1"
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"21,7";"44,1";"6,63";"18,6";"56,3";"55,5"
"05334";"Städteregion Aachen";"Landkreis";"20,2";"42,8";"7,31";"17,1";"57,8";"55,1"
